dico;m_residents;f_residents;households
1601;9471;11258;8775
1602;7353;8475;6384
1603;3441;4335;3445
1604;8171;9658;7495
1605;4131;4505;3431
1606;5140;5918;4390
1607;19385;21819;14968
1608;6407;7227;5449
1609;40513;45351;33140
1610;4312;4618;3527
0301;9061;9530;6577
0302;56231;60546;40263
0303;92042;101291;72102
0306;16786;18359;12430
0310;3079;3280;2399
0313;22225;24249;16280
0304;7546;8020;5630
0307;23041;25461;18384
0308;75740;81112;57790
1705;3091;3325;2528
0309;10443;11344;7939
0311;5711;6259;4573
0312;64434;69156;48268
0314;11626;12277;8548
0104;10160;10994;7618
0107;14450;16577;12503
1304;77927;86328;64117
1306;64067;70892;52197
1308;81230;91439;70110
0113;32004;34208;24966
1310;40839;43575;30181
1312;106206;125756;102446
1313;30268;34052;23503
0109;65867;70853;51024
1314;32242;35543;25458
0116;10396;11766;9022
1318;18472;20140;13977
0119;10277;11002;8437
1315;44977;49818;36660
1316;38707;42214;29281
1317;144141;160008;121432
1702;2390;2612;2065
1703;17840;19783;15941
1706;4466;4813;3954
1709;2895;2992;2417
1712;6877;7837;6493
1713;5612;6213;5003
1301;24725;27406;19668
1302;8301;9226;6708
0106;7535;8062;5621
0305;8410;9256;6631
1804;8603;9144;6789
1303;26923;28960;19918
1305;22890;24511;16723
1307;23764;25799;18031
1309;27362;28261;19126
1311;33447;36240;25216
1813;4893;5160;3923
1701;5105;5387;4404
1801;2662;3018;2273
0403;2623;2871;2415
0404;1533;1682;1363
1805;11509;12839;9679
1704;1662;1893;1391
1807;4483;4928;3788
1707;2530;2719;2227
1812;1285;1446;1161
1708;6822;7731;5827
1710;2654;2902;2275
1711;2899;3205;2445
1815;3316;3464;2766
1818;2760;2953;2343
1819;2372;2667;2090
1820;3529;3845;3025
0409;3221;3601;3199
0914;2983;3321;2828
1714;23378;26245;19809
0401;2089;2232;1852
0402;16511;18069;14329
0405;6761;7491;6122
0406;3120;3346;2809
0407;10103;11286;8912
0408;4000;4304;3634
0410;2917;3147;2592
0411;2009;2145;1908
0412;3810;3962;3437
1001;26468;28513;22463
1101;21547;22881;17304
1102;6829;7154;5308
1005;6108;6635;5274
1104;6417;6965;5476
1006;23963;26935;21348
1108;12685;13576;10719
1011;7090;7799;6222
1012;5835;6105;4820
1014;12660;13759;11014
1112;5070;5472;4085
1113;40154;42976;32737
0101;22124;24010;17926
0102;12073;12768;9669
0103;13149;14393;10860
0105;38371;42509;32999
0108;12695;13534;9845
0110;18607;20634;15633
0112;5047;5441;4061
0114;10964;12186;8726
0115;26312;28664;20943
0117;5339;5730;4456
0118;10988;11917;8738
0601;5289;5778;4705
0602;16127;18091;13741
0603;65435;75361;60088
0604;7803;8930;6355
0605;27884;31098;24647
0606;1754;2052;1641
0607;8187;8825;7030
0111;9244;10114;7671
0608;5753;6373;4951
0609;5756;6258;4783
0610;11788;12799;9583
1808;4249;4711;3717
0611;9278;10143;7851
0612;1880;2187;1933
0613;6168;6951;5294
0614;2595;2848;2263
0615;8155;9109;7223
0616;5283;5880;4524
0617;3205;3608;2800
1002;2896;3331;2756
1003;5506;6126;4825
